Date,Time,Location,operator,Flight,Route,AcType,Reg,CnLn,Aboard,Fatalities,Ground:,Summary
"February 26, 1928",?,"Marquette, Nebraska",Boeing Air Transport,?,?,Boeing 40,NC280,891,2   (passengers:1  crew:1),1   (passengers:1  crew:0),0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
"May 07, 1928",?,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,?,?,Latecoere 26,F-AIMQ,671,5   (passengers:3  crew:2),1   (passengers:1  crew:0),0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
"May 26, 1928",?,"Radevormwald, Germany",Deutsche Lufthansa,?,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,5   (passengers:4  crew:1),3   (passengers:2  crew:1),0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
"April 19, 1928",?,"Minuesa, Spain",Iberia Airlines,?,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,Crashed into a field after getting lost in fog.
"May 12, 1928",?,"Dearborn, Minnesota",Ford Air Freight Inc.,?,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
"June 14, 1928",?,"Frankfurt, Germany",Deutsche Lufthansa,?,?,AEGK,D-74,439,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,"The ""Viper"" crashed for unknown reasons."
"June 22, 1928",?,"Lebo, Kansas",National Air Transport,?,Chicago - Dallas,Douglas M-4,NC1059,628,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The mail plane flew into tornado like winds and crashed in a field.
"July 10, 1928",?,Over the Gulf of Finland,Aero O-Y,?,Tallinn - Helsinki,Junkers F-13,K-SALB,760,6   (passengers:4  crew:2),6   (passengers:4  crew:2),0,Crashed under unknown circumstances
"August 25, 1928",c 11:00,"Near Port Townsend, BC, Canada",British Columbia Airways,?,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
"September 02, 1928",c 9:15,"Toul, France",CIDNA,?,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,5   (passengers:2  crew:3),5   (passengers:2  crew:3),0,"After taking off the engine failed, the plane stalled and crashed."
"July 13, 1928",?,"Purley, England",Imperial Airways,?,Testing,Vickers 74 Vulcan,G-EBLB,9,6   (passengers:5  crew:1),4   (passengers:4  crew:0),0,Crashed to the ground shortly after taking off killing two men and two women.
"January 05, 1929",?,"Stafford Springs, Connecticut",Colonial Air Transport,?,?,Fairchild FC-2,NC5650,111,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Struck a mountain in poor weather
"July 24, 1928",14:48,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,?,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),6   (passengers:5  crew:1),1   (passengers:1  crew:0),0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
"January 18, 1929",?,"Cove, Oregon",Varney Air Lines,?,"Boise, ID - Pasco, WA",Stearman C-38,NC1682,102,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While attempting to make an emergency landing on the Minam river the plane hit a bolder killing the pilot
"January 25, 1929",?,"Near Corfu, Greece",Aeroespresso,?,Brindisi - Athens - Istanbul,CMASA Wal,I-AZDA,053,9   (passengers:7  crew:2),2   (passengers:7  crew:2),0,"Diverted off Kerkira in the Ionian Sea, in thunderstoms and high seas and sank."
"January 31, 1929",?,"Morgantown, West Virginia",Skyline Transportation Company,?,?,Travel Air 4000,NC6480,800,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While attempting to land, the aircraft overran the runway and hit the perimeter fence."
"January 31, 1929",?,Off Morocco,Aeropostale,?,Agadir - Casablanca,Latecoere 26,"F-AIMU
F-AIMU",674,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,Crashed into the sea. Reasons unknown.
"March 17, 1929",?,"Newark, New Jersey",Colonial Western Airlines,?,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15   (passengers:13  crew:2),14   (passengers:13  crew:1),0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.
"March 30, 1929",09:18,"Near Beaumont, California",New Standard Airlines,?,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
"April 21, 1929",c 11;45,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,?,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
"May 09, 1929",?,"Tampico, Mexico",Mexicana,?,"Tampico - Brownsville, TX",Ford Tri-motor 4,M-SCAL,?,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,"An engine failed, the plane stalled and crashed."
"May 18, 1929",?,Hungary,MALERT,?,?,Fokker F-III,H-MABC,1604,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,A wing separated in flight and the plane crashed.
"May 22, 1929",?,Algiers,Aeropostale,?,Algiers - Marseille,Cams 53,F-AISX,07,6   (passengers:3  crew:3),4   (passengers:3  crew:2),0,The plane collided with a submerged object while taking off.
"June 10, 1929",?,"Santiago de Cuba, Cuba",Pan American Airways,?,Santiago de Cuba - Havana,Fokker F-X,NC9700,1010,5   (passengers:4  crew:1),2   (passengers:1  crew:1),0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
"June 14, 1929",?,"Barcelona, Spain",Aeropostale,?,Janeiro - Buenos Aires,Breguet 14,F-AFEJ,217,2   (passengers:0  crew:2),1   (passengers:0  crew:1),0,"Took off, lost power and altitude and crashed into a telegraph tower."
"June 17, 1929",c 11:30,"Off Dungeness, England",Imperial Airways,?,London - Paris,Handley Page W-10,G-EBMT,W10/4,13   (passengers:11  crew:2),7   (passengers:7  crew:0),0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed due to the failure of a connecting rod on a cylinder.. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named ""City of Ottawa."""
"June 24, 1929",?,"St. Paul, Minnesota",Northwest Orient Airlines,?,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8   (passengers:6  crew:2),1   (passengers:0  crew:1),0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
"June 29, 1929",?,"Columbus, Ohio",Continental Air Lines,?,?,Travel Air 4000,NC5435,524,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The mail plane crashed in fog and low visibility and burned.
"August 24, 1929",?,"Elm, Germany",Deutsche Lufthansa,?,Frankfurt - Berlin,Fokker FG II,D-757,1571,5   (passengers:4  crew:1),4   (passengers:3  crew:1),0,Hit terrain in low visibility.
"August 11, 1929",?,"Clovis, New Mexico",Middle States Airlines,?,?,Lockheed Vega,NC870E,?,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"The just manufactured aircraft was on its way to be delivered to its new owne rwith  four employees of Lockheed,  two pilots and two engineers when it crashed under unknown circumstances."
"June 29, 1929",c 21:00,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,?,?,Domier Delphin III (flying boat),D-1620,151,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,The aircraft crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two.
